# basename,datetime,site,mode,raw_size,gz_size,7z_size
COVIS-20190130T165337-diffuseleft,2019-01-30 16:53:37,Ashes,diffuseleft,961744621,279926199,167282277
COVIS-20190130T180001-diffuseright,2019-01-30 18:00:01,Ashes,diffuseright,961745076,386016525,262760091
COVIS-20190130T182325-diffuseleft,2019-01-30 18:23:25,Ashes,diffuseleft,961744545,278812498,165748518
COVIS-20190130T193001-diffuseright,2019-01-30 19:30:01,Ashes,diffuseright,961745007,388144113,264412006
COVIS-20190130T195307-diffuseleft,2019-01-30 19:53:07,Ashes,diffuseleft,961744507,283439557,169622582
COVIS-20190130T210001-diffuseright,2019-01-30 21:00:01,Ashes,diffuseright,961744932,391378234,265837312
COVIS-20190130T212342-diffuseleft,2019-01-30 21:23:42,Ashes,diffuseleft,961744590,296409921,174311855
COVIS-20190130T223002-diffuseright,2019-01-30 22:30:02,Ashes,diffuseright,961745039,402774580,271655887
COVIS-20190130T225322-diffuseleft,2019-01-30 22:53:22,Ashes,diffuseleft,961744613,295858980,175255127
COVIS-20190131T000002-diffuseright,2019-01-31 00:00:02,Ashes,diffuseright,961745016,403761473,272469200
COVIS-20190131T002333-diffuseleft,2019-01-31 00:23:33,Ashes,diffuseleft,961744607,283927104,167840683
COVIS-20190131T013002-diffuseright,2019-01-31 01:30:02,Ashes,diffuseright,961745084,406012760,274327144
COVIS-20190131T015359-diffuseleft,2019-01-31 01:53:59,Ashes,diffuseleft,961744544,291882007,172735177
COVIS-20190131T030002-diffuseright,2019-01-31 03:00:02,Ashes,diffuseright,961745050,394491951,267778827
COVIS-20190131T032407-diffuseleft,2019-01-31 03:24:07,Ashes,diffuseleft,961744579,287555312,169421401
COVIS-20190131T043002-diffuseright,2019-01-31 04:30:02,Ashes,diffuseright,961744990,391163064,265078553
COVIS-20190131T045338-diffuseleft,2019-01-31 04:53:38,Ashes,diffuseleft,961744597,279131481,165467094
COVIS-20190131T060002-diffuseright,2019-01-31 06:00:02,Ashes,diffuseright,961744984,387022097,263531272
COVIS-20190131T062318-diffuseleft,2019-01-31 06:23:18,Ashes,diffuseleft,961744547,282005641,168338053
COVIS-20190131T073001-diffuseright,2019-01-31 07:30:01,Ashes,diffuseright,961745037,399180763,269995627
COVIS-20190131T075307-diffuseleft,2019-01-31 07:53:07,Ashes,diffuseleft,961744525,289667348,172599165
COVIS-20190131T090002-diffuseright,2019-01-31 09:00:02,Ashes,diffuseright,961745044,403445882,274090080
COVIS-20190131T092320-diffuseleft,2019-01-31 09:23:20,Ashes,diffuseleft,961744571,294442488,175151933
