# basename,datetime,site,mode,raw_size,7z_size
COVIS-20180730T044249-diffuse2,2018-07-30 04:42:49,Ashes,diffuse2,8440248,3506493
COVIS-20180730T044341-diffuse2,2018-07-30 04:43:41,Ashes,diffuse2,8440249,3475638
COVIS-20180730T044434-diffuse2,2018-07-30 04:44:34,Ashes,diffuse2,8440246,3501418
COVIS-20180730T044527-diffuse2,2018-07-30 04:45:27,Ashes,diffuse2,8440248,3534596
COVIS-20180730T052041-diffuse2,2018-07-30 05:20:41,Ashes,diffuse2,8440259,3282735
COVIS-20180730T130048-target,2018-07-30 13:00:48,Ashes,target,118070088,416918
COVIS-20180730T134022-target,2018-07-30 13:40:22,Ashes,target,118070385,408452
COVIS-20180730T152738-target,2018-07-30 15:27:38,Ashes,target,118069552,410930
COVIS-20180730T214822-diffuse2,2018-07-30 21:48:22,Ashes,diffuse2,8440231,3291054
COVIS-20180730T215024-diffuse2,2018-07-30 21:50:24,Ashes,diffuse2,8440237,3318971
COVIS-20180730T215127-diffuse2,2018-07-30 21:51:27,Ashes,diffuse2,8440234,3337566
COVIS-20180730T215228-diffuse2,2018-07-30 21:52:28,Ashes,diffuse2,8440238,3342315
COVIS-20180730T215329-diffuse2,2018-07-30 21:53:29,Ashes,diffuse2,8440236,3310905
COVIS-20180730T215431-target,2018-07-30 21:54:31,Ashes,target,118069824,474398
COVIS-20180730T220707-target,2018-07-30 22:07:07,Ashes,target,118070042,604191
COVIS-20180730T221920-target,2018-07-30 22:19:20,Ashes,target,118070930,601608
COVIS-20180730T224023-imaging1,2018-07-30 22:40:23,Ashes,imaging1,1559363377,245243862
COVIS-20180730T225600-imaging2,2018-07-30 22:56:00,Ashes,imaging2,1559363471,267732383
COVIS-20180730T231228-imaging3,2018-07-30 23:12:28,Ashes,imaging3,1559363324,228832051
COVIS-20180731T010141-doppler1,2018-07-31 01:01:41,Ashes,doppler1,4294663013,35931035
COVIS-20180731T041200-doppler2,2018-07-31 04:12:00,Ashes,doppler2,4294659984,43100621
COVIS-20180731T044640-doppler3,2018-07-31 04:46:40,Ashes,doppler3,4294675884,40127241
COVIS-20180731T201042-diffuse1,2018-07-31 20:10:42,Ashes,diffuse1,8440232,3180275
COVIS-20180731T201311-diffuse2,2018-07-31 20:13:11,Ashes,diffuse2,8440235,3288512
COVIS-20180731T201527-diffuse3,2018-07-31 20:15:27,Ashes,diffuse3,8440234,3127144
COVIS-20180801T011134-target,2018-08-01 01:11:34,Ashes,target,220823011,1597736
COVIS-20180801T012358-target,2018-08-01 01:23:58,Ashes,target,220823424,1567262
COVIS-20180801T013639-target,2018-08-01 01:36:39,Ashes,target,220823517,1601736
COVIS-20180801T213138-target,2018-08-01 21:31:38,Ashes,target,220824272,124549113
COVIS-20180801T214346-target,2018-08-01 21:43:46,Ashes,target,220824045,124711168
COVIS-20180801T215555-target,2018-08-01 21:55:55,Ashes,target,220824196,124439006
COVIS-20180801T230241-target,2018-08-01 23:02:41,Ashes,target,220823846,119396335
COVIS-20180801T231449-target,2018-08-01 23:14:49,Ashes,target,220823881,117878832
COVIS-20180801T232656-target,2018-08-01 23:26:56,Ashes,target,220823692,118018920
COVIS-20180802T023002-diffuse1,2018-08-02 02:30:02,Ashes,diffuse1,8440227,3168632
COVIS-20180802T023205-diffuse2,2018-08-02 02:32:05,Ashes,diffuse2,8440235,3296507
COVIS-20180802T023359-diffuse3,2018-08-02 02:33:59,Ashes,diffuse3,8440239,3132694
COVIS-20180802T030002-diffuse1,2018-08-02 03:00:02,Ashes,diffuse1,8440240,3236947
COVIS-20180802T030158-diffuse2,2018-08-02 03:01:58,Ashes,diffuse2,8440234,3318787
COVIS-20180802T030348-diffuse3,2018-08-02 03:03:48,Ashes,diffuse3,8440235,3170817
COVIS-20180802T033002-diffuse1,2018-08-02 03:30:02,Ashes,diffuse1,8440249,3201805
COVIS-20180802T033156-diffuse2,2018-08-02 03:31:56,Ashes,diffuse2,8440239,3315022
COVIS-20180802T033347-diffuse3,2018-08-02 03:33:47,Ashes,diffuse3,8440238,3157743
COVIS-20180802T040002-diffuse1,2018-08-02 04:00:02,Ashes,diffuse1,8440261,3276318
COVIS-20180802T040155-diffuse2,2018-08-02 04:01:55,Ashes,diffuse2,8440259,3331714
COVIS-20180802T040347-diffuse3,2018-08-02 04:03:47,Ashes,diffuse3,8440235,3188569
COVIS-20180802T043001-diffuse1,2018-08-02 04:30:01,Ashes,diffuse1,8440262,3199582
COVIS-20180802T043155-diffuse2,2018-08-02 04:31:55,Ashes,diffuse2,8440243,3252716
COVIS-20180802T043347-diffuse3,2018-08-02 04:33:47,Ashes,diffuse3,8440246,3158435
COVIS-20180802T050001-diffuse1,2018-08-02 05:00:01,Ashes,diffuse1,8440594,3205171
COVIS-20180802T050155-diffuse2,2018-08-02 05:01:55,Ashes,diffuse2,8440247,3277579
COVIS-20180802T050346-diffuse3,2018-08-02 05:03:46,Ashes,diffuse3,8440247,3140380
COVIS-20180802T053001-diffuse1,2018-08-02 05:30:01,Ashes,diffuse1,8440260,3175229
COVIS-20180802T053155-diffuse2,2018-08-02 05:31:55,Ashes,diffuse2,8440245,3244025
COVIS-20180802T053346-diffuse3,2018-08-02 05:33:46,Ashes,diffuse3,8440249,3175079
COVIS-20180802T060002-diffuse1,2018-08-02 06:00:02,Ashes,diffuse1,8440258,3208423
COVIS-20180802T060156-diffuse2,2018-08-02 06:01:56,Ashes,diffuse2,8440246,3255590
COVIS-20180802T060347-diffuse3,2018-08-02 06:03:47,Ashes,diffuse3,8440249,3173850
COVIS-20180802T063002-diffuse1,2018-08-02 06:30:02,Ashes,diffuse1,8440258,3181218
COVIS-20180802T063156-diffuse2,2018-08-02 06:31:56,Ashes,diffuse2,8440246,3229146
COVIS-20180802T063346-diffuse3,2018-08-02 06:33:46,Ashes,diffuse3,8440250,3139121
COVIS-20180802T070002-diffuse1,2018-08-02 07:00:02,Ashes,diffuse1,8440261,3178479
COVIS-20180802T070156-diffuse2,2018-08-02 07:01:56,Ashes,diffuse2,8440243,3265581
COVIS-20180802T070346-diffuse3,2018-08-02 07:03:46,Ashes,diffuse3,8440245,3130552
COVIS-20180802T073002-diffuse1,2018-08-02 07:30:02,Ashes,diffuse1,8440425,3208534
COVIS-20180802T073156-diffuse2,2018-08-02 07:31:56,Ashes,diffuse2,8440245,3252562
COVIS-20180802T073347-diffuse3,2018-08-02 07:33:47,Ashes,diffuse3,8440241,3155174
COVIS-20180802T080002-diffuse1,2018-08-02 08:00:02,Ashes,diffuse1,8440259,3195244
COVIS-20180802T080156-diffuse2,2018-08-02 08:01:56,Ashes,diffuse2,8440249,3266787
COVIS-20180802T080347-diffuse3,2018-08-02 08:03:47,Ashes,diffuse3,8440248,3129687
COVIS-20180802T083002-diffuse1,2018-08-02 08:30:02,Ashes,diffuse1,8440260,3158595
COVIS-20180802T083156-diffuse2,2018-08-02 08:31:56,Ashes,diffuse2,8440248,3250129
COVIS-20180802T083348-diffuse3,2018-08-02 08:33:48,Ashes,diffuse3,8440245,3117728
COVIS-20180802T090002-diffuse1,2018-08-02 09:00:02,Ashes,diffuse1,8440260,3177397
COVIS-20180802T090156-diffuse2,2018-08-02 09:01:56,Ashes,diffuse2,8440249,3237507
COVIS-20180802T090347-diffuse3,2018-08-02 09:03:47,Ashes,diffuse3,8440248,3121705
COVIS-20180802T093002-diffuse1,2018-08-02 09:30:02,Ashes,diffuse1,8440259,3174940
COVIS-20180802T093155-diffuse2,2018-08-02 09:31:55,Ashes,diffuse2,8440416,3240357
COVIS-20180802T093346-diffuse3,2018-08-02 09:33:46,Ashes,diffuse3,8440251,3149616
COVIS-20180802T100002-diffuse1,2018-08-02 10:00:02,Ashes,diffuse1,8440253,3188116
COVIS-20180802T100157-diffuse2,2018-08-02 10:01:57,Ashes,diffuse2,8440246,3242881
COVIS-20180802T100348-diffuse3,2018-08-02 10:03:48,Ashes,diffuse3,8440248,3127422
COVIS-20180802T103002-diffuse1,2018-08-02 10:30:02,Ashes,diffuse1,8440258,3178279
COVIS-20180802T103156-diffuse2,2018-08-02 10:31:56,Ashes,diffuse2,8440244,3237603
COVIS-20180802T103346-diffuse3,2018-08-02 10:33:46,Ashes,diffuse3,8440242,3154881
COVIS-20180802T110002-diffuse1,2018-08-02 11:00:02,Ashes,diffuse1,8440250,3165628
COVIS-20180802T110157-diffuse2,2018-08-02 11:01:57,Ashes,diffuse2,8440247,3226222
COVIS-20180802T110349-diffuse3,2018-08-02 11:03:49,Ashes,diffuse3,8440244,3137260
COVIS-20180802T113002-diffuse1,2018-08-02 11:30:02,Ashes,diffuse1,8440258,3175488
COVIS-20180802T113156-diffuse2,2018-08-02 11:31:56,Ashes,diffuse2,8440249,3228856
COVIS-20180802T113348-diffuse3,2018-08-02 11:33:48,Ashes,diffuse3,8440585,3156224
COVIS-20180802T120002-diffuse1,2018-08-02 12:00:02,Ashes,diffuse1,8440259,3155958
COVIS-20180802T120156-diffuse2,2018-08-02 12:01:56,Ashes,diffuse2,8440417,3222868
COVIS-20180802T120347-diffuse3,2018-08-02 12:03:47,Ashes,diffuse3,8440249,3115259
COVIS-20180802T123002-diffuse1,2018-08-02 12:30:02,Ashes,diffuse1,8440250,3169148
COVIS-20180802T123157-diffuse2,2018-08-02 12:31:57,Ashes,diffuse2,8440248,3220247
COVIS-20180802T123347-diffuse3,2018-08-02 12:33:47,Ashes,diffuse3,8440250,3134080
COVIS-20180802T130001-diffuse1,2018-08-02 13:00:01,Ashes,diffuse1,8440256,3155766
COVIS-20180802T130155-diffuse2,2018-08-02 13:01:55,Ashes,diffuse2,8440250,3258108
COVIS-20180802T130346-diffuse3,2018-08-02 13:03:46,Ashes,diffuse3,8440242,3110426
COVIS-20180802T133002-diffuse1,2018-08-02 13:30:02,Ashes,diffuse1,8440257,3161017
COVIS-20180802T133157-diffuse2,2018-08-02 13:31:57,Ashes,diffuse2,8440249,3276265
COVIS-20180802T133348-diffuse3,2018-08-02 13:33:48,Ashes,diffuse3,8440254,3137342
COVIS-20180802T140002-diffuse1,2018-08-02 14:00:02,Ashes,diffuse1,8440259,3182026
COVIS-20180802T140156-diffuse2,2018-08-02 14:01:56,Ashes,diffuse2,8440243,3256354
COVIS-20180802T140347-diffuse3,2018-08-02 14:03:47,Ashes,diffuse3,8440244,3143151
COVIS-20180802T143002-diffuse1,2018-08-02 14:30:02,Ashes,diffuse1,8440258,3185814
COVIS-20180802T143156-diffuse2,2018-08-02 14:31:56,Ashes,diffuse2,8440243,3233138
COVIS-20180802T143347-diffuse3,2018-08-02 14:33:47,Ashes,diffuse3,8440248,3138447
COVIS-20180802T150002-diffuse1,2018-08-02 15:00:02,Ashes,diffuse1,8440261,3149743
COVIS-20180802T150157-diffuse2,2018-08-02 15:01:57,Ashes,diffuse2,8440247,3226731
COVIS-20180802T150348-diffuse3,2018-08-02 15:03:48,Ashes,diffuse3,8440249,3132119
COVIS-20180802T153002-diffuse1,2018-08-02 15:30:02,Ashes,diffuse1,8440259,3166101
COVIS-20180802T153156-diffuse2,2018-08-02 15:31:56,Ashes,diffuse2,8440239,3258455
COVIS-20180802T153347-diffuse3,2018-08-02 15:33:47,Ashes,diffuse3,8440242,3167408
COVIS-20180802T160002-diffuse1,2018-08-02 16:00:02,Ashes,diffuse1,8440255,3186983
COVIS-20180802T160155-diffuse2,2018-08-02 16:01:55,Ashes,diffuse2,8440246,3253863
COVIS-20180802T160346-diffuse3,2018-08-02 16:03:46,Ashes,diffuse3,8440241,3130538
COVIS-20180802T163002-diffuse1,2018-08-02 16:30:02,Ashes,diffuse1,8440260,3163959
COVIS-20180802T163155-diffuse2,2018-08-02 16:31:55,Ashes,diffuse2,8440243,3245958
COVIS-20180802T163346-diffuse3,2018-08-02 16:33:46,Ashes,diffuse3,8440245,3129191
COVIS-20180802T170002-diffuse1,2018-08-02 17:00:02,Ashes,diffuse1,8440253,3165107
COVIS-20180802T170156-diffuse2,2018-08-02 17:01:56,Ashes,diffuse2,8440243,3242074
COVIS-20180802T170347-diffuse3,2018-08-02 17:03:47,Ashes,diffuse3,8440249,3146531
COVIS-20180802T173002-diffuse1,2018-08-02 17:30:02,Ashes,diffuse1,8440258,3175356
COVIS-20180802T173155-diffuse2,2018-08-02 17:31:55,Ashes,diffuse2,8440245,3230066
COVIS-20180802T173345-diffuse3,2018-08-02 17:33:45,Ashes,diffuse3,8440243,3167518
COVIS-20180802T180002-diffuse1,2018-08-02 18:00:02,Ashes,diffuse1,8440258,3183532
COVIS-20180802T180155-diffuse2,2018-08-02 18:01:55,Ashes,diffuse2,8440242,3261104
COVIS-20180802T180346-diffuse3,2018-08-02 18:03:46,Ashes,diffuse3,8440248,3159638
COVIS-20180802T183002-diffuse1,2018-08-02 18:30:02,Ashes,diffuse1,8440255,3196526
